广东省乡镇机关2025年考试录用公务员职位表,,,,,,,,,,,,,,
"配套
措施","1.广州、深圳、珠海、佛山、惠州、东莞、中山、江门、肇庆等9市新录用乡镇公务员在乡镇机关最低服务年限为5年；
2.汕头、韶关、河源、梅州、汕尾、阳江、湛江、茂名、清远、潮州、揭阳、云浮等12市新录用乡镇公务员在职位所在县（市、区）的乡镇机关最低服务年限为5年。",,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否限应届毕业生报考,其他要求,考区
广州市荔湾区人民政府逢源街道办事处,6010154,四级主任科员以下,60101542559001 ,从事城市更新改造等工作,综合管理类职位,1,本科以上,学士、硕士,风景园林学(A0834),土木类(B0811),,2025届高校毕业生,,广州
广州市荔湾区人民政府逢源街道办事处,6010154,一级行政执法员,60101542560001 ,从事行政执法等工作,行政执法类职位,1,本科,学士,,不限,,否,,广州
广州市荔湾区人民政府多宝街道办事处,6010155,平安法治办公室四级主任科员,60101552559001 ,从事调研报告撰写，协助做好人民调解、禁毒、刑满释放人员帮教、宣传等工作,综合管理类职位,1,研究生,硕士,中国语言文学(A0501),,,应届毕业生,,广州
广州市荔湾区人民政府昌华街道办事处,6010157,二级主办以下,60101572560001 ,从事综合行政执法工作，维护辖区内的城市环境和城市秩序等工作,行政执法类职位,1,研究生,硕士以上,"法学(A0301),电子科学与技术(A0809),信息与通信工程(A0810),计算机科学与技术(A0812),建筑学(A0813),土木工程(A0814),水利工程(A0815),测绘科学与技术(A0816),交通运输工程(A0823),环境科学与工程(A0830),城乡规划学(A0833),风景园林学(A0834),软件工程(A0835),安全科学与工程(A0837),网络空间安全(A0839),新一代电子信息技术硕士（专业硕士）(A084001),通信工程硕士（专业硕士）(A084002),集成电路工程硕士（专业硕士）(A084003),计算机技术硕士（专业硕士）(A084004),软件工程硕士（专业硕士）(A084005),光电信息工程硕士（专业硕士）(A084008),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011),网络与信息安全硕士（专业硕士）(A084012),安全工程硕士（专业硕士）(A084202),测绘工程硕士（专业硕士）(A084204),土木工程硕士（专业硕士）(A084401),水利工程硕士（专业硕士）(A084402),农田水土工程硕士（专业硕士）(A084404),市政工程硕士（专业硕士）(A084405),人工环境工程硕士（专业硕士）(A084406),交通运输(A0847)",,,否,,广州
广州市荔湾区人民政府岭南街道办事处,6010158,综合行政执法队一级行政执法员,60101582560001 ,从事综合行政执法工作，需夜间值班和处理突发事件等工作,行政执法类职位,1,本科,学士,,"经济统计学(B020102),数学与应用数学(B070101),历史建筑保护工程(B081004),土木工程(B081101),会计学(B120203)",,2025届高校毕业生,,广州
广州市荔湾区人民政府华林街道办事处,6010159,平安法治办公室一级科员,60101592559001 ,从事综治维稳工作,综合管理类职位,1,本科,学士,,"电子信息类(B0807),计算机类(B0809)",,否,,广州
广州市荔湾区人民政府站前街道办事处,6010161,综合行政执法队二级主办以下,60101612560001 ,"从事基层一线综合行政执法工作;基层一线执法岗位,适合男性",行政执法类职位,1,本科以上,学士以上,应用经济学(A0202),"经济学(B02),商务英语(B050262),国际商务(B120205)",,否,,广州
广州市荔湾区人民政府站前街道办事处,6010161,综合行政执法队二级主办以下,60101612560002 ,从事基层综合行政执法工作,行政执法类职位,1,本科以上,学士以上,"语言学及应用语言学(A050102),中国古代文学(A050105),中国现当代文学(A050106),新闻传播学(A0503)","汉语言文学(B050101),汉语言(B050102),新闻学(B050301)",,否,,广州
广州市荔湾区人民政府彩虹街道办事处,6010162,综合行政执法队一级行政执法员,60101622560001 ,从事综合行政执法工作,行政执法类职位,1,本科,学士,,"环境科学与工程类(B0826),自然保护与环境生态类(B0902)",,否,,广州
广州市荔湾区人民政府桥中街道办事处,6010163,综合行政执法队四级主办以下,60101632560001 ,从事综合行政执法工作,行政执法类职位,1,本科以上,学士、硕士,"经济学(A02),工学(A08)","经济学(B02),工学(B08)",,应届毕业生,男性,广州
广州市荔湾区人民政府桥中街道办事处,6010163,综合行政执法队四级主办以下,60101632560002 ,从事综合行政执法工作,行政执法类职位,1,本科以上,学士、硕士,"经济学(A02),工学(A08)","经济学(B02),工学(B08)",,应届毕业生,女性,广州
广州市荔湾区人民政府石围塘街道办事处,6010164,党建和组织人事办公室一级科员,60101642559001 ,从事党建引领基层综合治理工作，需经常应急24小时值班工作,综合管理类职位,1,本科,学士,,"法学(B030101),统计学类(B0711),电气工程及其自动化(B080601)",,否,中共党员,广州
广州市荔湾区人民政府花地街道办事处,6010165,综合行政执法队一级行政执法员,60101652560001 ,从事行政执法一线工作,行政执法类职位,1,本科,学士,,"土木工程(B081101),美术学类(B1304)",,否,,广州
广州市荔湾区人民政府茶滘街道办事处,6010166,综合行政执法队二级主办以下,60101662560001 ,从事综合行政执法等工作,行政执法类职位,1,研究生,硕士以上,"应用经济学(A0202),法学(A0301)",,,2025届高校毕业生,,广州
广州市荔湾区人民政府冲口街道办事处,6010167,综合行政执法队四级主办,60101672560001 ,从事综合行政执法工作,行政执法类职位,1,研究生,硕士,新闻传播学(A0503),,,应届毕业生,,广州
