广东省监狱、戒毒管理机关2025年考试录用公务员（人民警察）职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否开展心理素质测评,是否限应届毕业生报考,其他要求,考区
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554058 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,物流工程与管理硕士（专业硕士）(A120105),物流管理与工程类(B1206),,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554059 ,从事女性服刑人员管理和教育改造工作,2,本科以上,学士以上,纺织科学与工程(A0821),"纺织工程(B081701),服装设计与工程(B081702),服装设计与工艺教育(B081704),服装与服饰设计(B130505)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554060 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,"音乐与舞蹈学(A130201),音乐硕士（专业硕士）(A130202),美术学(A1304)","音乐表演(B130201),音乐学(B130202),绘画(B130402)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554061 ,从事女性服刑人员管理和教育改造工作,2,本科以上,学士以上,"舞蹈硕士（专业硕士）(A130203),广播电视硕士（专业硕士）(A130306)","舞蹈表演(B130204),播音与主持艺术(B130309)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554062 ,从事女性服刑人员管理和教育改造工作,2,本科以上,学士以上,设计学(A1305),"数字媒体艺术(B130508),新媒体艺术(B130510)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,四会监狱二级警长以下,59900012554063 ,从事女性服刑人员管理和教育改造工作,1,本科以上,学士以上,"艺术学理论(A1301),戏剧与影视学(A1303),设计学(A1305)","艺术管理(B130102),戏剧与影视学类(B1303),视觉传达设计(B130502),环境设计(B130503),艺术与科技(B130509)",,否,否,否,女性,肇庆
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554064 ,从事监狱管理和教育改造工作,2,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554065 ,从事监狱管理和教育改造工作,3,本科以上,学士以上,06法律类,06法律类,,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554066 ,从事监狱管理和教育改造工作,5,本科以上,学士以上,不限,不限,,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554067 ,从事监狱管理和教育改造工作,2,研究生,硕士以上,"社会学(A0303),教育学(A0401)",,,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554068 ,从事监狱管理和教育改造工作,5,本科以上,学士以上,"社会学(A0303),教育学(A0401)","社会学类(B0303),教育学类(B0401)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554069 ,从事监狱管理和教育改造工作,4,本科以上,学士以上,"信息与通信工程(A0810),计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),电子信息(A0840)","电子信息类(B0807),计算机类(B0809)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554070 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"运动训练硕士（专业硕士）(A040306),社会体育指导硕士（专业硕士）(A040308)","运动训练(B040202),社会体育指导与管理(B040203)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554071 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"统计学（部分）(A020208),应用统计硕士（专业硕士）(A020213),数学(A0701)","数学类(B0701),统计学类(B0711)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554072 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,经济学(A02),经济学(B02),,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554073 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"建筑学(A0813),土木工程(A0814),土木工程硕士（专业硕士）(A084401)","建筑类(B0810),土木类(B0811)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554074 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,中国语言文学(A0501),中国语言文学类(B0501),,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554075 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"物流工程与管理硕士（专业硕士）(A120105),工商管理(A1202),公共管理(A1204)","工商管理类(B1202),公共管理类(B1204),物流管理与工程类(B1206),电子商务类(B1208)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554076 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"机械制造及其自动化(A080201),机械电子工程(A080202),机械设计及理论(A080203),机械工程硕士（专业硕士）(A084601)",机械类(B0802),,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554077 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,材料科学与工程(A0805),"材料类(B0804),能源动力类(B0805)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554078 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,交通运输工程(A0823),交通运输类(B0819),,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554079 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"舞蹈硕士（专业硕士）(A130203),设计学(A1305)","舞蹈表演(B130204),舞蹈编导(B130206),流行舞蹈(B130211),艺术设计学(B130501),视觉传达设计(B130502),环境设计(B130503),服装与服饰设计(B130505),数字媒体艺术(B130508)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,高明监狱二级警长以下,59900012554080 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"戏剧与影视学(A130301),广播电视艺术学(A130305),广播电视硕士（专业硕士）(A130306)","广播电视编导(B130305),戏剧影视导演(B130306),播音与主持艺术(B130309),影视摄影与制作(B130311)",,否,否,否,男性,佛山
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554081 ,从事监狱管理和教育改造工作,2,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),司法警务(C030204),社区矫正(C030205),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554082 ,从事监狱管理和教育改造工作,4,本科以上,学士以上,06法律类,06法律类,,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554083 ,从事监狱管理和教育改造工作,2,大专以上,不限,不限,不限,不限,否,否,否,男性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554084 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,不限,不限,,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554085 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"社会学(A0303),教育学(A0401)","社会学类(B0303),教育学类(B0401)",,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554086 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),电子信息(A0840)",计算机类(B0809),,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554087 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"运动训练硕士（专业硕士）(A040306),社会体育指导硕士（专业硕士）(A040308)","运动训练(B040202),社会体育指导与管理(B040203)",,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554088 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,安全科学与工程(A0837),"安全科学与工程类(B0830),消防工程(B083102),安全防范工程(B083104)",,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554089 ,从事监狱管理和教育改造工作,1,本科,学士,,"保密技术(B080914),保密管理(B120106)",,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554090 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"中国语言文学(A0501),新闻传播学(A0503)","中国语言文学类(B0501),新闻传播学类(B0503)",,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554091 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,"管理科学与工程(A1201),工商管理(A1202),公共管理(A1204)","管理科学与工程类(B1201),工商管理类(B1202),公共管理类(B1204)",,否,否,否,男性,韶关
广东省监狱管理局,5990001,北江监狱二级警长以下,59900012554092 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,服装设计与工程(A082104),"服装设计与工程(B081702),服装设计与工艺教育(B081704),服装与服饰设计(B130505)",,否,否,否,男性,韶关
广东省监狱管理局,5990001,韶关监狱二级警长以下,59900012554093 ,从事监狱管理和教育改造工作,2,大专、本科,不限,,"法学(B030101),监狱学(B030103),侦查学(B030602)","刑事执行(C030201),行政执行(C030203),刑事侦查技术(C030301),司法信息安全(C030305),罪犯心理测量与矫正技术(C030306)",否,否,否,男性,韶关
广东省监狱管理局,5990001,韶关监狱二级警长以下,59900012554094 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,06法律类,06法律类,,否,否,否,男性,韶关
广东省监狱管理局,5990001,韶关监狱二级警长以下,59900012554095 ,从事监狱管理和教育改造工作,1,本科以上,学士以上,不限,不限,,否,否,否,男性,韶关
广东省监狱管理局,5990001,韶关监狱二级警长以下,59900012554096 ,从事监狱管理和教育改造工作,2,大专以上,不限,不限,不限,不限,否,否,否,男性;面向“服务基层项目人员和退役大学生士兵”专门职位;录用后需在录用单位工作满5年,韶关
广东省监狱管理局,5990001,韶关监狱二级警长以下,59900012554097 ,从事监狱管理和教育改造工作,2,本科以上,学士以上,"社会学(A0303),教育学(A0401)","社会学类(B0303),教育学类(B0401)",,否,否,否,男性,韶关
