附件1,,,,,,,,,,,,,,,
广东省县级以上机关2025年考试录用公务员职位表（不含公安、法检、监狱、戒毒系统）,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广东省人力资源和社会保障厅,1990052,广东省人才服务局一级主任科员以下,19900522541011 ,从事财务相关工作,综合管理类职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204),审计学(B120207)",,否,否,中共党员;企业管理（限：财务管理）（A120202）,广州
广东省人力资源和社会保障厅,1990052,广东省人才服务局一级主任科员以下,19900522541012 ,从事材料撰写、新闻宣传、综合行政工作,综合管理类职位,1,本科以上,学士以上,"哲学(A01),法学(A0301),政治学(A0302),马克思主义理论(A0305),中国语言文学(A0501),新闻传播学(A0503),公共管理(A1204)","哲学(B01),法学类(B0301),政治学类(B0302),马克思主义理论类(B0305),中国语言文学类(B0501),新闻传播学类(B0503),公共管理类(B1204)",,否,否,中共党员,广州
广东省人力资源和社会保障厅,1990052,广东省人才服务局一级主任科员以下,19900522541013 ,从事信息化建设管理工作,综合管理类职位,1,研究生,硕士以上,"计算机科学与技术(A0812),软件工程(A0835),网络空间安全(A0839),电子信息(A0840)",,,否,否,中共党员,广州
广东省人力资源和社会保障厅,1990052,广东省人事考试局一级主任科员以下,19900522541014 ,从事考务管理相关工作,综合管理类职位,1,研究生,硕士以上,"电子科学与技术(A0809),计算机科学与技术(A0812)",,,否,应届毕业生,,广州
广东省人力资源和社会保障厅,1990052,广东省人事考试局一级主任科员以下,19900522541015 ,从事考试科研相关工作,综合管理类职位,1,研究生,硕士以上,"逻辑学(A010104),人工智能硕士（专业硕士）(A084010),大数据技术与工程硕士（专业硕士）(A084011)",,,否,应届毕业生,,广州
广东省自然资源厅,1990053,机关一级主任科员以下,19900532541001 ,从事土地、海洋、城乡规划管理等工作,综合管理类职位,1,研究生,硕士以上,"地理学(A0705),海洋科学(A0707),生态学(A0713),船舶与海洋工程(A0824),城乡规划学(A0833),海洋工程硕士（专业硕士）(A084403),土地资源管理(A120405)",,,是,否,,广州
广东省自然资源厅,1990053,机关一级主任科员以下,19900532541002 ,从事地质、矿产、测绘管理等工作,综合管理类职位,1,研究生,硕士以上,"地质学(A0709),测绘科学与技术(A0816),地质资源与地质工程(A0818),矿业工程(A0819),地质工程硕士（专业硕士）(A084203),测绘工程硕士（专业硕士）(A084204),矿业工程硕士（专业硕士）(A084205)",,,是,否,,广州
广东省生态环境厅,1990054,机关一级主任科员以下,19900542541001 ,从事生态环境保护业务管理工作,综合管理类职位,2,研究生,硕士以上,"大气物理学与大气环境(A070602),海洋化学(A070702),海洋生物学(A070703),生态学(A0713),水文学及水资源(A081501),水力学及河流动力学(A081502),化学工程与技术(A0817),环境科学与工程(A0830),城乡规划学(A0833),土壤学(A090301)",,,是,否,,广州
广东省生态环境厅,1990054,机关一级主任科员以下,19900542541002 ,从事生态环境保护现场监督检查、督察、执法、应急相关工作,综合管理类职位,2,研究生,硕士以上,"环境与资源保护法学(A030108),大气物理学与大气环境(A070602),海洋化学(A070702),海洋生物学(A070703),生态学(A0713),水文学及水资源(A081501),水力学及河流动力学(A081502),化学工程与技术(A0817),环境科学与工程(A0830),城乡规划学(A0833),土壤学(A090301)",,,是,否,,广州
广东省生态环境厅,1990054,广东省珠海生态环境监测站监测与预报一室二级主任科员以下,19900542541003 ,"从事海洋生态环境监测等工作;需出海作业,适合男性",综合管理类职位,1,研究生,硕士以上,"海洋化学(A070702),海洋生物学(A070703)",,,否,否,,珠海
