广东省各级人民法院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广州市南沙区人民法院（广东自由贸易区南沙片区人民法院),3010010,综合审判庭（涉外审判庭）五级法官助理,30100102548003 ,从事民商事审判、涉外审判辅助工作,法院法官助理职位,2,本科以上,学士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市南沙区人民法院（广东自由贸易区南沙片区人民法院),3010010,知识产权审判庭五级法官助理,30100102548004 ,从事民商事审判（含涉外知识产权审判）辅助工作,法院法官助理职位,1,本科以上,学士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)","法学(B030101),知识产权(B030102)",,否,否,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市南沙区人民法院（广东自由贸易区南沙片区人民法院),3010010,刑事审判庭五级法官助理,30100102548005 ,从事刑事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,"刑法学(A030104),民商法学（含：劳动法学、社会保障法学）(A030105)","法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 研究生报考者本科须为法学专业且获法学学士学位",广州
广州市南沙区人民法院（广东自由贸易区南沙片区人民法院),3010010,司法警察大队二级警长以下,30100102550001 ,从事押解、维护审判秩序、配合实施执行措施等工作,法院司法警察职位,1,本科以上,学士以上,"法学(A0301),公安学(A0306)","法学类(B0301),公安学类(B0306)",,否,否,男性,广州
广州市从化区人民法院,3010011,审判业务部门五级法官助理,30100112548001 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市从化区人民法院,3010011,审判业务部门五级法官助理,30100112548002 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,2025届高校毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市从化区人民法院,3010011,审判业务部门五级法官助理,30100112548003 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市从化区人民法院,3010011,审判业务部门五级法官助理,30100112548004 ,从事审判辅助工作,法院法官助理职位,2,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市从化区人民法院,3010011,综合办公室一级科员,30100112549001 ,从事账目处理、财务预算、决算、财务档案管理等财务相关工作,法院司法行政职位,1,本科以上,学士以上,"会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),财务管理(B120204)",,否,否,,广州
广州市从化区人民法院,3010011,司法警察大队一级警员,30100112550001 ,从事押解、维护审判秩序、配合实施执行措施、法庭安全保卫等工作,法院司法警察职位,1,本科,学士,,"法学类(B0301),公安学类(B0306)",,否,否,男性,广州
广州市增城区人民法院,3010012,审判业务部门五级法官助理,30100122548001 ,从事审判辅助工作,法院法官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市增城区人民法院,3010012,审判业务部门五级法官助理,30100122548002 ,从事审判辅助工作,法院法官助理职位,3,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市增城区人民法院,3010012,执行局五级法官助理,30100122548003 ,从事执行辅助工作,法院法官助理职位,1,本科以上,学士以上,法学(A0301),"法学(B030101),知识产权(B030102)",,否,应届毕业生,通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州市增城区人民法院,3010012,政治部（机关党委、督察室）一级科员,30100122549001 ,从事党建、组织人事、综合行政等工作,法院司法行政职位,1,本科以上,学士以上,"马克思主义理论(A0305),语言学及应用语言学(A050102),汉语言文字学(A050103),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),行政管理(A120401)","马克思主义理论类(B0305),汉语言文学(B050101),汉语言(B050102),人力资源管理(B120206),行政管理(B120402)",,否,应届毕业生,中共党员;企业管理（限：人力资源管理）（A120202）,广州
广州市增城区人民法院,3010012,综合办公室一级科员,30100122549002 ,从事信息化建设、网络管理等工作,法院司法行政职位,1,本科以上,学士以上,"计算机科学与技术(A0812),软件工程(A0835),软件工程硕士（专业硕士）(A084005)","计算机科学与技术(B080901),软件工程(B080902),网络工程(B080903)",,否,应届毕业生,,广州
